股票id	股票名	价格	涨跌幅(%)	换手率(%)	市盈率	市净率	行业板块	社保基金	社保基金数	公告日期	送股	转股	派息	除权日	登记日
600004	白云机场	15.18	-0.52	0.51	--	2.08	机场	[]	0	2023-04-19	0	0	0	--	--
600006	东风汽车	5.70	-0.18	0.88	43.50	1.37	商用载货车	[]	0	2023-04-11	0	0	0.428	--	--
600007	中国国贸	18.71	-1.42	0.52	16.14	1.99	房地产开发	['易方达基金管理有限公司-社保基金1104组合']	1	2023-03-29	0	0	7	--	--
600008	首创环保	3.09	+0.65	1.09	7.17	1.19	水务	['全国社保基金四一二组合']	1	2023-04-13	0	0	1.3	--	--
600009	上海机场	52.46	+1.12	0.33	--	3.30	机场	['全国社保基金一零二组合']	1	2023-04-29	0	0	0	--	--
600010	包钢股份	1.80	-1.10	0.57	--	1.55	普钢	[]	0	2023-04-22	0	0	0	--	--
600011	华能国际	10.07	+0.90	0.74	--	3.29	火电	[]	0	2023-03-22	0	0	0	--	--
600012	皖通高速	10.46	+4.08	2.13	11.58	1.40	高速公路	[]	0	2023-03-31	0	0	5.5	--	--
600015	华夏银行	6.01	0.00	0.60	3.79	0.36	银行	[]	0	2023-04-28	0	0	3.83	--	--
600016	民生银行	4.15	+4.01	2.38	5.08	0.35	银行	[]	0	2023-03-28	0	0	2.14	--	--
600017	日照港	3.28	+1.86	3.30	16.73	0.73	港口	[]	0	2023-03-31	0	0	0.4	--	--
600018	上港集团	5.76	-0.52	0.17	8.78	1.16	港口	[]	0	2023-04-04	0	0	1.4	--	--
600019	宝钢股份	6.62	-0.30	0.45	14.31	0.75	普钢	[]	0	2023-04-28	0	0	1	--	--
600020	中原高速	3.86	+2.93	4.85	22.52	0.81	高速公路	[]	0	2023-04-15	0	0	0.19	--	--
600021	上海电力	10.72	+1.80	3.61	54.46	1.84	火电	[]	0	2023-03-31	0	0	0.35	--	--
600022	山东钢铁	1.52	-1.30	0.92	--	0.75	普钢	[]	0	2023-03-31	0	0	0.3	--	--
600023	浙能电力	4.78	+2.14	0.68	--	1.02	电力	[]	0	2023-04-28	0	0	0	--	--
600025	华能水电	7.11	-0.70	0.12	18.65	2.31	水电	[]	0	2023-04-22	0	0	1.75	--	--
600026	中远海能	12.54	-2.87	0.78	23.66	1.83	航运	['全国社保基金一零三组合']	1	2023-03-31	0	0	1.5	--	--
600027	华电国际	6.41	+1.26	1.01	106.41	1.71	火电	[]	0	2023-03-30	0	0	2	--	--
600028	中国石化	6.59	-1.79	0.19	12.42	0.98	石油加工	[]	0	2023-03-27	0	0	1.95	--	--
600029	南方航空	7.24	+0.28	0.53	--	3.35	航空运输	[]	0	2023-03-29	0	0	0	--	--
600030	中信证券	21.93	+3.10	1.92	15.11	1.33	证券	[]	0	2023-03-31	0	0	4.9	--	--
600031	三一重工	16.24	-0.55	0.51	32.86	2.07	工程机械	['全国社保基金一零三组合', '全国社保基金一一四组合', '全国社保基金一一三组合']	3	2023-04-01	0	0	1.6	--	--
600032	浙江新能	11.18	-1.15	1.57	38.86	2.66	新能源发电	[]	0	2023-04-28	0	0	0.8	--	--
600033	福建高速	3.36	0.00	1.70	10.88	0.84	高速公路	[]	0	2023-04-29	0	0	1.5	--	--
600035	楚天高速	4.40	+1.62	5.80	8.54	0.90	高速公路	[]	0	2023-04-28	0	0	1.4	--	--
600036	招商银行	34.69	+1.64	0.39	6.21	1.02	银行	[]	0	2023-03-25	0	0	17.38	--	--
