股票id	股票名	价格	涨跌幅(%)	换手率(%)	市盈率	市净率	行业板块	社保基金	社保基金数	公告日期	送股	转股	派息	除权日	登记日
300003	乐普医疗	23.80	-0.63	0.69	19.85	2.87	医疗器械	[]	0	2023-04-26	0	0	3.41	--	--
300004	南风股份	5.43	-0.73	0.60	384.42	1.53	其它专用机械	[]	0	2023-04-26	0	0	0	--	--
300005	探路者	8.56	-0.47	0.85	94.43	3.59	其他服装	[]	0	2023-04-27	0	0	0	--	--
300006	莱美药业	3.78	-1.56	0.99	--	1.88	化学制剂	[]	0	2023-03-18	0	0	0	--	--
300007	汉威科技	14.56	-1.29	1.37	19.90	1.71	仪器仪表	[]	0	2023-03-30	0	0	1.2	--	--
300008	天海防务	4.60	-0.86	6.29	55.08	4.33	船舶制造	[]	0	2023-04-22	0	0	0	--	--
300009	安科生物	10.55	-2.50	1.38	24.65	5.16	生物制品	[]	0	2023-03-28	0	0	2.5	--	--
300010	*ST豆神	2.54	+2.01	6.79	--	--	IT服务	[]	0	2023-04-26	0	0	0	--	--
300011	鼎汉技术	7.85	+6.51	9.44	--	3.39	储能设备	[]	0	2023-04-04	0	0	0	--	--
300012	华测检测	19.01	-0.26	0.52	34.50	5.72	综合	['全国社保基金四零六组合', '全国社保基金一一五组合']	2	2023-04-25	0	0	0.6	--	--
300013	新宁物流	3.92	-1.01	1.45	--	168.81	物流	[]	0	2023-04-27	0	0	0	--	--
300014	亿纬锂能	64.10	-1.66	0.84	31.77	4.12	储能设备	[]	0	2023-04-18	0	0	1.6	--	--
300015	爱尔眼科	28.91	-0.28	0.30	76.99	11.85	医疗服务	[]	0	2023-04-26	0	3	1	--	--
300016	北陆药业	6.85	-1.44	1.02	--	2.03	化学制剂	[]	0	2023-04-24	0	0	0.7	--	--
300018	中元股份	6.14	-1.76	1.66	65.83	2.46	电网自动化	[]	0	2023-04-22	0	0	0.5	--	--
300019	硅宝科技	16.67	-2.00	0.93	24.82	2.86	其他化学制品	['全国社保基金四一三组合']	1	2023-04-25	0	0	3	2023-05-05	2023-05-04
300020	银江技术	9.99	+5.71	10.66	82.38	1.84	IT服务	[]	0	2023-04-26	0	0	0	--	--
300021	大禹节水	5.22	-0.19	1.47	49.46	2.39	农业综合	[]	0	2023-04-11	0	0	1	--	--
300022	吉峰科技	4.70	-1.26	1.41	122.91	18.95	专业连锁	[]	0	2023-04-22	0	0	0	--	--
300024	机器人	13.92	+4.04	16.83	368.74	5.12	其它通用机械	[]	0	2023-04-14	0	0	0	--	--
300025	华星创业	10.77	-5.11	10.17	537.59	8.07	通信配套服务	[]	0	2023-03-31	0	0	0	--	--
300026	红日药业	5.82	-3.96	2.33	31.14	2.07	医药生物	[]	0	2023-05-05	0	0	0.3	2023-05-12	2023-05-11
300027	华谊兄弟	3.21	+0.31	7.77	--	7.16	影视动漫	[]	0	2023-04-28	0	0	0	--	--
300029	ST天龙	6.79	-2.58	1.20	--	65.14	光伏设备	[]	0	2023-04-24	0	0	0	--	--
300030	阳普医疗	7.17	-0.55	1.73	--	2.78	医疗器械	[]	0	2023-04-27	0	0	0	--	--
300031	宝通科技	26.54	-11.00	24.11	--	3.17	移动互联网服务	['全国社保基金六零二组合', '全国社保基金四零一组合']	2	2023-04-27	0	0	0	--	--
300032	金龙机电	6.17	+2.32	3.48	77.89	4.07	显示器件	[]	0	2023-04-28	0	0	0	--	--
300035	中科电气	12.14	-1.62	1.63	87.85	1.85	其他化学制品	[]	0	2023-04-25	0	0	1.5	--	--
300036	超图软件	20.84	+1.31	2.40	--	3.57	软件开发	['广发基金管理有限公司－社保基金四二零组合']	1	2023-03-31	0	0	0	--	--
300037	新宙邦	46.77	-4.94	1.79	23.37	4.15	其他化学制品	[]	0	2023-03-28	0	0	5	--	--
300039	上海凯宝	7.71	-5.05	6.79	37.80	1.96	中药	[]	0	2023-04-19	0	0	0.6	--	--
300040	九洲集团	5.77	-0.86	0.87	24.22	1.21	工控自动化	[]	0	2023-04-22	0	0	0.6	--	--
300041	回天新材	15.57	-2.32	1.70	20.76	2.49	其他化学制品	[]	0	2023-04-18	0	3	1.5	--	--
300042	朗科科技	26.53	-3.14	6.77	87.09	4.48	计算机设备	[]	0	2023-04-26	0	0	0.5	--	--
300043	星辉娱乐	4.92	-8.04	14.78	--	3.37	移动互联网服务	[]	0	2023-04-22	0	0	0	--	--
300044	赛为智能	3.95	-1.50	5.35	--	3.88	IT服务	[]	0	2023-04-25	0	0	0	--	--
300045	华力创通	8.48	-0.24	2.33	--	3.26	计算机设备	[]	0	2023-04-21	0	0	0	--	--
300046	台基股份	16.81	-1.52	2.02	185.35	3.74	分立器件	[]	0	2023-04-14	0	0	0	--	--
300047	天源迪科	8.03	+2.16	6.24	150.31	1.55	软件开发	[]	0	2023-05-05	0	0	0.15	2023-05-12	2023-05-11
300048	合康新能	5.33	-2.02	0.76	352.67	3.16	工控自动化	[]	0	2023-04-18	0	0	0	--	--
